title,body,severity,y_pred
x/image/font: make it easier to measure a string's bounds and draw it in a bounding box,"this issue applies to github.com/golang/freetype, if that is still under development.

i want to accomplish the following (superficially) easy tasks:
- given a string and a fully specified font/context, determine the rendered string's bounds, taking into account ascenders, descenders, etc.; something along the lines of `nsstring`'s `-sizewithattributes:` method.
- given an appropriately sized rect, render a string in that rect, compensating for ascenders, descenders, etc; something like `nsstring`'s `-drawinrect:withattributes:` method.

i will use this to render a simple, short string into a texture of just the right size, and then upload that texture onto a window for use as a label at a particular origin.

`measurestring` looks close, but it only provides the width, not the height. (and i don't see a way to get the line height / leading from a font.) and `drawstring` is close, but the dot's y offset is the baseline of the text, which i don't see a handy way to calculate.

the fact that these are top-level apis in cocoa suggests that these are common needs and that they cover a large portion of use cases. maybe this should be handled with examples, or maybe with new fundamental apis, or maybe with convenience apis. i don't know enough to say.

/cc @nigeltao 
",minor,major
x/text/currency: position of the iso code or sign in amounts,"``` go
    currencycode = ""pln""
    unit, _ := currency.parseiso(currencycode)
    p := message.newprinter(language.polish)
    amount := float64(100)
    p.print(currency.symbol(unit.amount(amount)))
```

the result is `zł 100` but i would expect `100 zł`.
https://en.wikipedia.org/wiki/iso_4217#position_of_iso_4217_code_in_amounts
http://publications.europa.eu/code/en/en-370303.htm#position

i would expect `100 zł` but maybe there is ""other"" library/func/method that handles order?
or if this is on todo list, any idea how could i workaround the problem?
",major,minor
cmd/compile: sync/atomic.swappointer arguments escape for the wrong reason,"in the implementation of sync/atomic.swappointer (which is in runtime/atomic_pointer.go), there's nothing that causes the ""new"" argument to escape, even though it needs to (because you could be swapping it in to a global). the compiler agrees:

```
$ go build -gcflags ""-m -m"" -a runtime |& grep sync_atomic_swappointer                                                                     
runtime/atomic_pointer.go:58: sync_atomic_swappointer ptr does not escape
runtime/atomic_pointer.go:58: sync_atomic_swappointer new does not escape
```

however, you can't actually tickle this. for example, in principle the following program should sneak the address of stack variable y into a global variable:

```
package main

import (
    ""sync/atomic""
    ""unsafe""
)

var x unsafe.pointer

func main() {
    var y int
    z := unsafe.pointer(&y)
    atomic.swappointer(&x, z)
}
```

but it doesn't!

```
$ go build -gcflags ""-m -m"" x.go
# command-line-arguments                        
./aesc.go:13: &x escapes to heap
./aesc.go:13:   from &x (passed to function[unknown]) at ./aesc.go:13
./aesc.go:11: moved to heap: y
./aesc.go:12: &y escapes to heap
./aesc.go:12:   from z (assigned) at ./aesc.go:12
./aesc.go:12:   from z (passed to function[unknown]) at ./aesc.go:12
```

this happens to work right now, but for the wrong reason: because swappointer is defined in the runtime and we use a ""go:linkname"" comment to expose it from sync/atomic, there's no escape information at all when the test program calls swappointer (hence the ""passed to function[unknown]""), so the compiler conservatively assumes everything escapes. (in fact, the first argument doesn't have to escape and we have annotations in the runtime to that effect, but they never make it through.)

this all seems very fragile.

/cc @dr2chase @randall77 
",minor,major
add parseable output for flutter doctor,"i thought i'd discussed this with someone before, but can't find it anywhere.. it'd be nice if an ide can execute `flutter doctor` and provide info to the user when there are problems.

the current output isn't too bad for parsing, but it could be fragile if there are changes or if it becomes interactive and starts expecting input.

it'd be good to have a new switch (eg. `--machine`) that'll give output in a consistent format. another possibility is adding it as a command to `flutter daemon`, however i don't know if the daemon can actually run if there are missing pre-requisites, so maybe that's not a good idea!",major,minor
fine-tune binary heap sifting logic,"there's a fundamental compromise in sifting strategy that optimizes for small/big heaps or elements.

see #30534 for discussion and details, which changed `pop` to optimize for the large case. it's possible a branch on `self.len` could produce better results for small cases.

cc @bluss if you want to chime in
",minor,major
install script should complain if $nvm_dir isn't a valid base path,"https://github.com/creationix/nvm/issues/1520#issuecomment-298117770 is an example of a user having an outdated `nvm_dir` setting in their profile file.

the installation script should detect when the nvm_dir does not exist (and ideally backtrack up til it can find the first nonexistent directory) and inform the user clearly that they need to fix their `nvm_dir` setting (ideally with the default) and retry the installation.",minor,major
download only 1mb of file and use title in filename,"i am using the below to download only 1 mb of the file. 

`youtube-dl -v url -o - | head -c 1000000 > output.mp4`

can i use %(title)s.%(ext)s instead of output.mp4",major,minor
"improve javascript intellisense type inference for cases where object.assign(this, ...) is used with an object with known type information","_from @jj101k on may 28, 2017 10:16_

- vscode version: 1.12.2 (19222cdc84ce72202478ba1cec5cb557b71163de)
- os version: macos sierra 10.12.5 (16f73)

given the javascript code:

```js
class foo {
    constructor() {
        object.assign(
            this,
            {
                bar: ""abc"",
            }
        );
        this.foo = ""def"";
    }
}

var f = new foo();
console.log(f.foo);
console.log(f.bar);
```

if you hover over `f.foo`, it will tell you that it's a string. if you hover over `f.bar`, it will say it's ""any"". they should both say ""string"".

object.assign is a fairly common way of setting several properties with a bit less copy/paste. in cases where an object without known type information is used as the last argument it isn't possible to statically infer appropriate types for the modified object (""this"", here) and equivalently the object that object.assign returns. where type information of the last argument _is_ known, it is safe and appropriate to import all of that into the type information for the object, as if a series of direct assignments had been done.

caveats: in javascript (perhaps not typescript) it's possible that further unknown properties are present on any given object, so it would be appropriate to void all inferred type information which is not between object.assign and the end of the constructor. if object.assign is used outside a constructor (on a named object) it should void all inferred types entirely, because the type information could be entirely different before and after. the same should be true if object.assign is conditionally called in the constructor. the only exception should be when all arguments after the first have known final type information, eg. an immediate object.

for practical purposes, `object.assign(foo, bar, {baz: 1})` should be considered equivalent to `for(name in bar) if(bar.hasownproperty(name)) foo[name] = bar[name]; foo.baz=1;`.

_copied from original issue: microsoft/vscode#27397_",major,minor
add option for start-point,"hi, it would be wonderful to have an option to download a video from a given starting point.
for example this http://www.youtube.com/watch?v=d-fqjhi6a-u video is about 9h long, but i only want to have the last hour.
of course it would be nice to be able to just pass a time code, but start-byte or something similar would be sufficient. 
is something like that possible?
",major,minor
x/tools/cmd/present: browser fullscreen mode wish,"on large displays present shows almost [half of the next slide](http://s.natalian.org/2015-09-16/1442368126_1918x1058.png) which can be distracting. could there be a fullscreen mode please?
",major,minor
elm architectural pattern,"**description:**
the elm design pattern, originating from the elm language, is a pattern for building web applications that emphasizes simplicity, maintainability, and robustness. it follows the model-view-update (mvu) architecture, making state management predictable by using a single, immutable state.

**main elements of the pattern:**
1. **model:** represents the state of the application.
2. **view:** a function of the model that returns the html representation.
3. **update:** a function that takes the current state and a message, returning a new state.
4. **messages:** dispatched events that trigger state transitions.
5. **commands:** side effects such as http requests that do not change the state directly but might produce messages.

**references:**
1. [the elm architecture](https://guide.elm-lang.org/architecture/)
2. [elm architecture tutorial](https://github.com/evancz/elm-architecture-tutorial/)

**acceptance criteria:**
1. implement the model-view-update architecture with clear separation of concerns.
2. ensure immutability of the state and the predictability of state transitions.
3. provide comprehensive unit tests covering all components (model, view, update, messages, and commands).
",minor,major
cv::cuda::houghcirclesdetector and cv::houghcircles do not give the same results,"hello,

##### system information (version)
opencv 3.1.0, windows 7 64 bits, visual studio 2010, cuda 8

##### detailed description
i have noticed that for a similar input, cv::cuda::houghcirclesdetector and cv::houghcircles do not give the same results. i am not sure if it is normal, because the documentation does not tell that it should be the case (algorithms may be different).
however, it would be convenient, either to fix it, or explain how to circumvent it by adapting the parameters.

##### steps to reproduce
image provided as attachement, and here is a sample code :

```
cv::mat img = cv::imread(""test.png"", cv::imread_grayscale);

  float dp = 1;
  float mindist = 100;
  int cannythreshold = 122;
  int accthreshold = 50;
  int minradius = 1;
  int maxradius = std::max(img.size().width, img.size().height);

  std::vector<cv::vec3f> cpucircles;
  cv::houghcircles(img, cpucircles, cv::hough_gradient, dp, mindist, cannythreshold, accthreshold, minradius, maxradius);

  std::vector<cv::vec3f> gpucircles;
  cv::ptr<cv::cuda::houghcirclesdetector> gpudetector = cv::cuda::createhoughcirclesdetector(dp, mindist, cannythreshold, accthreshold, minradius, maxradius);
  cv::cuda::gpumat gpumat;
  cv::cuda::gpumat gpuresult;
  gpumat.upload(img);
  gpudetector->detect(gpumat, gpuresult);
  gpucircles.resize(gpuresult.size().width);
  if (!gpucircles.empty())
    gpuresult.row(0).download(cv::mat(gpucircles).reshape(3, 1));

  printf(""cpu circles :\n"");
  for(std::vector<cv::vec3f>::const_iterator it = cpucircles.begin() ; it != cpucircles.end() ; ++it)
    printf(""(%f,%f,%f)"", it->val[0], it->val[1], it->val[2]);
  printf(""\n"");
  printf(""gpu circles :\n"");
  for(std::vector<cv::vec3f>::const_iterator it = gpucircles.begin() ; it != gpucircles.end() ; ++it)
    printf(""(%f,%f,%f)"", it->val[0], it->val[1], it->val[2]);
  printf(""\n"");
```

output result :
cpu circles :
(165.500000,329.500000,56.925388)
gpu circles :
(165.500000,328.500000,100.000000)(165.500000,328.500000,56.000000)(165.500000,3
28.500000,60.000000)(165.500000,328.500000,65.000000)(165.500000,328.500000,73.0
00000)(165.500000,328.500000,87.000000)(165.500000,328.500000,151.000000)(165.50
0000,328.500000,178.000000)(165.500000,328.500000,180.000000)(165.500000,328.500
000,183.000000)(165.500000,328.500000,185.000000)(165.500000,328.500000,187.0000
00)(165.500000,328.500000,190.000000)(165.500000,328.500000,224.000000)

![test](https://cloud.githubusercontent.com/assets/7251617/21050443/14b9393c-be1b-11e6-8cfe-061b284959b2.png)

",major,minor
cmd/dist: run all tests unless explicitly disabled on a platform,"every now and again a test isn't enabled on a platform where it should be (for example: https://github.com/golang/go/commit/161cd34f788ee9c6b61565eb6f865434bc135306). a leading culprit of this is feature checks that only run a test if the goos/goarch combination is in a list:

```go
pair := t.gohostos + ""-"" + t.goarch
switch (pair) {
case ""android-arm"", ""darwin-arm"", ...:
    // run test
default:
    // don't run test
}
```

if a goos/goarch combination isn't correctly added to one of the many lists like this, then the related tests simply won't run. this is not always obvious.

i think it would be good to refactor test.go so that it always defaults to running a test unless explicitly told not to for a given platform (preferably with an issue referencing the missing feature). this will make it harder to accidentally forget to enable a test.",minor,major
provide a way to interpolate crate version in html_root_url,"in serde we work around this by having a reminder in cargo.toml to update the html_root_url when releasing a new version. https://github.com/serde-rs/serde/commit/dc7ab2696a14fe5ca219ac09f8496bdc613ff602

```toml
[package]
version = ""1.0.8"" # remember to update html_root_url
```

```rust
#![doc(html_root_url = ""https://docs.rs/serde/1.0.8"")]
```

this is annoying and easily falls out of sync. for example mio 0.6.8 docs point to version 0.6.1: https://github.com/carllerche/mio/issues/613.

there should be a way to keep these synchronized automatically.",minor,major
specify and possibly reconsider the precise semantics of #[no_mangle],"this internals post describes how people are exploiting the underspecified aspects of `#[no_mangle]` to practical effect: https://internals.rust-lang.org/t/precise-semantics-of-no-mangle/4098 . we may want to specify what guarantees the attribute actually has, and possibly introduce new attributes to represent the fine-grained roles that `#[no_mangle]` is currently being used for.
",minor,major
expose api for getting jsdoc nodes in typescript files,"closure adds various semantic jsdoc annotations that aren't currently modeled by typescript, such as @export (unrelated to ts export) and @nosideeffects.
https://developers.google.com/closure/compiler/docs/js-for-compiler#overview

as part of our tool chain to run typescript through closure we'd like to be able to munge these via the typescript api.  it appears typescript gathers jsdoc comments when parsing javascript -- is there a good reason to not gather these in typescript as well?

specifically, i believe my suggestion amounts to removing the ""if"" statement in the below code (though i'm not certain this is the right place) in `parser.ts`:

``` js
        function addjsdoccomment<t extends node>(node: t): t {
            if (contextflags & nodeflags.javascriptfile) {
                ...all of the code is in here...
            }
        }
```
",major,minor
cmd/compile: combine extension with register loads and stores on amd64,"extending a register load or store currently generates suboptimal code with the ssa backend. in some cases, this is a regression from the old backend. for example:

`func load8(i uint8) uint64 { return uint64(i) }`

generates:

```
"""".load8 t=1 size=16 args=0x10 locals=0x0
    0x0000 00000 (extend.go:3)  text    """".load8(sb), $0-16
    0x0000 00000 (extend.go:3)  funcdata    $0, gclocals·23e8278e2b69a3a75fa59b23c49ed6ad(sb)
    0x0000 00000 (extend.go:3)  funcdata    $1, gclocals·33cdeccccebe80329f1fdbee7f5874cb(sb)
    0x0000 00000 (extend.go:3)  movblzx """".i+8(fp), ax
    0x0005 00005 (extend.go:3)  movbqzx al, ax
    0x0008 00008 (extend.go:3)  movq    ax, """".~r1+16(fp)
    0x000d 00013 (extend.go:3)  ret
```

the old back end generates:

```
"""".load8 t=1 size=16 args=0x10 locals=0x0
    0x0000 00000 (extend.go:3)  text    """".load8(sb), $0-16
    0x0000 00000 (extend.go:3)  funcdata    $0, gclocals·23e8278e2b69a3a75fa59b23c49ed6ad(sb)
    0x0000 00000 (extend.go:3)  funcdata    $1, gclocals·33cdeccccebe80329f1fdbee7f5874cb(sb)
    0x0000 00000 (extend.go:3)  movbqzx """".i+8(fp), bx
    0x0005 00005 (extend.go:3)  movq    bx, """".~r1+16(fp)
    0x000a 00010 (extend.go:3)  ret
```

i tried fixing this in cl 21838, but the fix was partial and probably not in the right place.

it's hard to do this as part of the arch-specific rewrite rules, because (a) you lose the type extension work that the ssa conversion did for you and have to recreate it later and (b) you don't know where all the register loads and stores will be, because regalloc hasn't run.

however, it's hard to do this as part of converting final ssa to instructions (genvalue), since that's really geared to handle one value at a time, in isolation.

teaching regalloc to combine these movs seems arch-specific and would further complicate already complicated machinery. maybe the thing to do is to add an arch-specific rewrite pass after regalloc (""peep""?), using hand-written rewrite rules. input requested.

related, for those extension movs that remain, we should test whether cwb and friends are desirable--they are shorter, but are register-restricted and the internet disagrees about whether they are as fast.

here are some test cases:

``` go
package x

func load8(i uint8) uint64   { return uint64(i) }
func load32(i uint32) uint64 { return uint64(i) }

func store8(i uint64) uint64  { return uint64(uint8(i)) }
func store32(i uint64) uint64 { return uint64(uint32(i)) }

var p *int

func load8spill(i uint8) uint64 {
    i++            // use i
    print(i)       // spill i
    j := uint64(i) // use and extend i
    return j
}

func load32spill(i uint32) uint64 {
    i++            // use i
    print(i)       // spill i
    j := uint64(i) // use and extend i
    return j
}

func store8spill(i uint64) uint64 {
    j := uint8(i)    // convert
    print(j)         // spill
    return uint64(j) // use
}

func store32spill(i uint64) uint64 {
    j := uint32(i)   // convert
    print(j)         // spill
    return uint64(j) // use
}
```

cc @randall77 
",minor,major
"x/tools/refactor/eg: when matching struct literals, abstract over the tagged/tagless forms","equivalent struct literals may be written in several ways:
   t{1, 2}
   t{a: 1, b: 2}
   t{b: 2, a: 1}
the 'eg' tool should allow a pattern using any of these forms to match any of these expressions.  that means internally converting to the named form and doing name-based (not index-based) matching of subtrees.  the output should be emitted in the same form as the original.
",minor,major
jquery: $(this) vs $(event.currenttarget),"when working with jquery in es6 you have to pay particular attention to `$(this)` in event handlers. using `$(this)` in es5 is quite popular to access the dom element of the event handler. in es6 the code breaks if you switch from function to arrow function syntax:

``` js
// works:
$selector.on('click', function() {
   $(this).hide();
});

// doesn't work:
$selector.on('click', () => $(this).hide());
```

instead you have to access the dom element via `event.currenttarget`:

``` js
// works:
$selector.on('click', ev => $(ev.currenttarget).hide());
```

imo the main problem is that you can accidentally break code by just switching from `function` syntax to arrow functions. i'm aware that this problem is not exclusive to jquery but since `$(this)` is so widely used in jquery code, imo it wouldn't be the badest idea idea to add this to the list of bad styles.

what do you think?
",major,minor
use function type shorthands when displaying signature help,"_from @unional on april 14, 2016 23:32_

![image](https://cloud.githubusercontent.com/assets/3254987/14546974/4f88973e-025e-11e6-8053-724cc8ecc51e.png)
i would be great if when `tape((<cursor>))` it would be able to drill in the `tape.testcase` and show the signature of the callback. :tulip: 

this is probably on `tsc`, but let's start here. :smile:

_copied from original issue: microsoft/vscode#5284_
",major,minor
visual studio formatting is wrong in some cases,"here is an example

``` typescript
var webapps: ng.ui.istate[] = [{
    name: ""home.webapp"",
    templateurl: ""templates/empty-shell.html""
}, {
    name: ""home.webapp.templates"",
    templateurl: ""templates/templates.html""
}, {
    name: ""home.webapp.work"",
    templateurl: ""templates/work.html""
}];
```

vs formats it to

``` typescript
var webapps: ng.ui.istate[] = [{
    name: ""home.webapp"",
    templateurl: ""templates/empty-shell.html""
}, {
        name: ""home.webapp.templates"",
        templateurl: ""templates/templates.html""
    }, {
        name: ""home.webapp.work"",
        templateurl: ""templates/work.html""
    }];
```

another example is 

``` typescript
function test($http: ng.ihttpservice) {
    $http({
        url: ""https://github.com"",
        method: ""get""
    })
    .success((d) => {
        console.log(d);
    })
    .finally(() => {
        console.log(""finally"");
    });
}
```

vs formats it to 

``` typescript
function test($http: ng.ihttpservice) {
    $http({
        url: ""https://github.com"",
        method: ""get""
    })
        .success((d) => {
            console.log(d);
        })
        .finally(() => {
            console.log(""finally"");
        });
}
```
",major,minor
cmd/compile: eliminate duplicate instrumentation in racewalk,"<pre>use simple analysis to eliminate duplicate instrumentation in cases like:

x = ...;
... = x;

currently it leads to insertion of 2 raceread() calls.</pre>
",minor,major
'end' event not called on connected socket wrapped with tls,"* **version**: v6.9.4, v7.4.0
* **platform**: linux pc 4.2.0-30-generic #36-ubuntu smp fri feb 26 00:58:07 utc 2016 x86_64 x86_64 x86_64 gnu/linux
* **subsystem**: net, tls

when wrapping an existing socket with tls, the socket's 'end' event is not called if the socket was already connected.

example:

in this case 'end' will be called:
```js
var socket = require('net').socket;
var tls = require('tls');

var host = 'www.google.com';

var socket = new socket();
var tlsoptions = {
  host: host,
  socket: socket
};

socket.on('close', function() { console.log('close'); });
socket.on('end', function() { console.log('end'); });

var tlssocket = tls.connect(tlsoptions, function() {
  console.log('connected');
  tlssocket.end();
});

socket.connect({
  port: 443,
  host: host
});
```

in this case 'end' will not be called:
```js
var socket = require('net').socket;
var tls = require('tls');

var host = 'www.google.com';

var socket = new socket();
var tlsoptions = {
  host: host,
  socket: socket
};

socket.on('close', function() { console.log('close'); });
socket.on('end', function() { console.log('end'); });

socket.connect({
  port: 443,
  host: host
});

var tlssocket = tls.connect(tlsoptions, function() {
  console.log('connected');
  tlssocket.end();
});
```",major,minor
proposal: a directive should not receive events that it fired,"e.g.

```
export class checkbox {
  @output() change: eventemitter = new eventemitter(); 

  @hostlistener('change', [
        '$event.target.value'
   ])
   onchange(event) { ... }
}
```
",minor,major
cmd/compile: let ssa store to pparamout variables earlier than return,"currently ssa cannot store early to named output variables.  it was disabled to fix #14591.  this issue is to track figuring out how to re-enable this feature at some point.
",minor,major
support for hudl,"would it be possible to support http://www.hudl.com ?  it uses json for the video urls, so hopefully it won't be too difficult :)
",major,minor
public items re-exported publicly in the same crate could have inlined docs,"as an example of what i mean, see this page: http://doc.rust-lang.org/syntax/parse/lexer/index.html

there is a re-exports section:

``` rust
pub use ext::tt::transcribe::{ttreader, new_tt_reader, new_tt_reader_with_doc_flag};
```

all of those items are public and reachable, so they're documented in `ext::tt::transcribe`. but `lexer::new_tt_reader`, for example, does not appear in the search index and (less seriously) it's a little annoying to have to jump through another set of links to another page to read the docs for that function.

when a private item is re-exported publicly in the same crate, or a public item from another crate is re-exported, the docs are inlined and an entry is created in the search index. i think it would be reasonable to do the same for public intra-crate re-exports.
",minor,major
nightly builds upload artifacts - mobile only?,"the [ios nightly builds](http://pullrequest.opencv.org/buildbot/builders/master-contrib_ios-mac/builds/337) have an `upload artifacts` step that allows direct downloading of the build. all the other builds ([windows](http://pullrequest.opencv.org/buildbot/builders/master-contrib-win64-vc12/builds/340), mac, etc.) don't zip and upload the release.

why don't all the nightly builds archive the build?
",major,minor
'guicursor' does not reflect guifg/gui highlights,"- `nvim --version`: nvim v0.2.0-1147-g58422f17d

- vim (version: ) behaves differently? n/a
- operating system/version: archlinux 
- terminal name/version: gnome-terminal
- `$term`: gnome-256color

### actual behaviour

the cursor does not seem to pick up `guifg` and `gui` settings. also the original cursor settings
do not seem to get restored after exiting neovim.

i've set up a minimal `init.vim` that sets the cursor color to green and foreground to black as
well as `gui=reverse` all except the background color get ignored. the text remains white which is unfortunate of the cursor itself is.

when exiting neovim the cursor color in the terminal suddenly has turned green as well. 
```
nvim -u norc

set guicursor=a:block-blinkon100-cursor/cursor
hi cursor guifg=black guibg=green gui=reverse

```
",major,minor
